Date,Adj Close,Close,High,Low,Open,Volume,Company
2015-01-01,359.9810791015625,493.6000061035156,495.5,489.2250061035156,492.2374877929688,2002764,INFY.NS
2015-01-02,367.05517578125,503.2999877929688,504.7625122070313,493.0,493.0,6778320,INFY.NS
2015-01-05,363.9009704589844,498.9750061035156,507.5,494.375,502.4750061035156,9937024,INFY.NS
2015-01-06,356.2981262207031,488.5499877929688,496.25,483.5249938964844,495.0,9667316,INFY.NS
2015-01-07,358.0028076171875,490.8875122070313,493.6875,487.5,491.25,7249916,INFY.NS
2015-01-08,359.80780029296875,493.3624877929688,499.25,487.5,496.3999938964844,13564920,INFY.NS
2015-01-09,378.22259521484375,518.6124877929688,527.25,478.2625122070313,495.0249938964844,44863328,INFY.NS
2015-01-12,385.7889709472656,528.9874877929688,529.7999877929688,518.75,523.0,12758888,INFY.NS
2015-01-13,380.857177734375,522.2249755859375,526.9500122070312,518.75,526.9500122070312,8801236,INFY.NS
2015-01-14,388.10455322265625,532.1624755859375,533.25,523.1500244140625,524.625,9921260,INFY.NS
2015-01-15,389.1256408691406,533.5625,538.2000122070312,528.0625,533.7999877929688,8342452,INFY.NS
2015-01-16,386.217529296875,529.5750122070312,540.0,528.0,537.0,6690960,INFY.NS
2015-01-19,383.3367919921875,525.625,533.0875244140625,523.6500244140625,530.0,4087744,INFY.NS
2015-01-20,387.293212890625,531.0499877929688,533.25,525.3624877929688,526.75,6804504,INFY.NS
2015-01-21,395.62542724609375,542.4749755859375,543.9874877929688,529.5,532.875,8494908,INFY.NS
2015-01-22,400.4661254882813,549.1124877929688,550.75,540.3250122070312,543.7000122070312,9958396,INFY.NS
2015-01-23,403.8572998046875,553.7625122070312,556.25,541.2750244140625,550.0,9486328,INFY.NS
2015-01-27,389.5357971191406,534.125,555.25,532.5250244140625,555.25,13739968,INFY.NS
2015-01-28,391.0035705566406,536.1375122070312,538.7000122070312,532.5750122070312,537.5,13134356,INFY.NS
2015-01-29,391.1767883300781,536.375,537.4749755859375,531.9000244140625,536.25,15369424,INFY.NS
2015-01-30,390.5203857421875,535.4749755859375,540.6375122070312,531.7374877929688,540.375,10833744,INFY.NS
2015-02-02,389.5996398925781,534.2125244140625,538.0,531.5125122070312,535.375,8702540,INFY.NS
2015-02-03,386.69146728515625,530.2249755859375,534.9874877929688,525.5,534.2125244140625,5265956,INFY.NS
2015-02-04,390.6936340332031,535.7125244140625,537.5,531.5999755859375,534.9749755859375,5160016,INFY.NS
2015-02-05,399.9830017089844,548.4500122070312,555.0,537.0,537.7000122070312,11875936,INFY.NS
2015-02-06,406.6742248535156,557.625,561.9500122070312,547.125,551.25,7453728,INFY.NS
2015-02-09,410.0290222167969,562.2249755859375,563.5,550.0,550.0,6536868,INFY.NS
2015-02-10,415.3894348144531,569.5750122070312,574.5,560.25,560.75,8516920,INFY.NS
2015-02-11,416.5835876464844,571.2125244140625,573.2999877929688,564.0625,570.125,5796972,INFY.NS
2015-02-12,421.3878173828125,577.7999877929688,580.4874877929688,568.25,570.75,6287536,INFY.NS
2015-02-13,418.634765625,574.0250244140625,581.6749877929688,571.5,574.9000244140625,5657516,INFY.NS
2015-02-16,415.4714660644531,569.6875,576.7249755859375,566.3125,570.0750122070312,6244276,INFY.NS
2015-02-18,418.7077331542969,574.125,576.2374877929688,564.5374755859375,572.6375122070312,8613764,INFY.NS
2015-02-19,423.8493041992188,581.1749877929688,583.5,573.0125122070312,573.5,9673624,INFY.NS
2015-02-20,416.2645568847656,570.7750244140625,584.0,569.2249755859375,582.125,6971628,INFY.NS
2015-02-23,413.0738220214844,566.4000244140625,577.2999877929688,562.0250244140625,575.0,5090488,INFY.NS
2015-02-24,414.3866882324219,568.2000122070312,573.9874877929688,564.4000244140625,569.75,6437676,INFY.NS
2015-02-25,422.55474853515625,579.4000244140625,583.7000122070312,570.0,572.2249755859375,6044972,INFY.NS
2015-02-26,411.7063903808594,564.5250244140625,577.25,561.3499755859375,576.875,6445776,INFY.NS
2015-02-27,413.1011962890625,566.4375,570.1624755859375,562.875,568.7249755859375,7801076,INFY.NS
2015-03-02,417.83245849609375,572.9249877929688,577.125,569.5125122070312,575.75,7040992,INFY.NS
2015-03-03,418.953857421875,574.4625244140625,575.7374877929688,569.5750122070312,572.5,4905552,INFY.NS
2015-03-04,414.7239074707031,568.6624755859375,578.4749755859375,562.9749755859375,575.0,4375228,INFY.NS
2015-03-05,409.79205322265625,561.9000244140625,574.6875,558.3375244140625,566.7625122070312,5684916,INFY.NS
2015-03-09,399.2992248535156,547.5125122070312,564.75,544.75,564.75,7984720,INFY.NS
2015-03-10,400.7486572265625,549.5,551.7374877929688,540.0499877929688,549.5250244140625,6329916,INFY.NS
2015-03-11,397.8680114746094,545.5499877929688,560.0,542.2750244140625,548.5250244140625,6780912,INFY.NS
2015-03-12,404.4499206542969,554.5750122070312,556.6124877929688,544.25,544.75,5688564,INFY.NS
2015-03-13,404.832763671875,555.0999755859375,557.5,548.0999755859375,556.25,6179684,INFY.NS
2015-03-16,413.2653198242188,566.6624755859375,570.5,552.6375122070312,552.6375122070312,6818632,INFY.NS
2015-03-17,408.4975280761719,560.125,569.875,554.3125,566.6624755859375,5539312,INFY.NS
2015-03-18,406.4920349121094,557.375,565.7125244140625,555.6375122070312,563.625,4905564,INFY.NS
2015-03-19,406.6651611328125,557.6124877929688,562.25,555.6875,558.6500244140625,6891740,INFY.NS
2015-03-20,411.5879211425781,564.3624877929688,567.2249755859375,558.2374877929688,560.25,6430896,INFY.NS
2015-03-23,407.2121276855469,558.3624877929688,568.75,556.375,563.25,5078700,INFY.NS
2015-03-24,403.2009887695313,552.8624877929688,563.3499755859375,551.5,558.7249755859375,6736532,INFY.NS
2015-03-25,404.5957946777344,554.7750244140625,557.2874755859375,550.1875,555.7249755859375,6170968,INFY.NS
2015-03-26,391.3317565917969,536.5875244140625,553.7249755859375,533.0,552.0,15740840,INFY.NS
2015-03-27,401.5053405761719,550.5374755859375,556.1749877929688,540.75,541.0,10074220,INFY.NS
